Periodo;Total
2020-09-01;1138868.0
2020-10-01;1020773.0
2020-11-01;456814.0
2020-12-01;648989.0
2021-01-01;437973.0
2021-02-01;284974.0
2021-03-01;491427.0
2021-04-01;629206.0
2021-05-01;1363164.0
2021-06-01;2216356.0
2021-07-01;4398992.0
2021-08-01;5196520.0
2021-09-01;4703933.0
2021-10-01;5148820.0
2021-11-01;3361913.0
2021-12-01;2947525.0
2022-01-01;2501443.0
2022-02-01;3179288.0
2022-03-01;4039532.0
2022-04-01;6106316.0
2022-05-01;6988353.0
2022-06-01;7498156.0
2022-07-01;9091390.0
2022-08-01;8848665.0
2022-09-01;7767211.0
2022-10-01;7176984.0
2022-11-01;4334651.0
2022-12-01;4127293.0
2023-01-01;4134995.0
2023-02-01;4320665.0
2023-03-01;5247341.0
2023-04-01;7228094.0
2023-05-01;8300384.0
2023-06-01;8307460.0
2023-07-01;10116916.0
2023-08-01;10186163.0
2023-09-01;8795425.0
2023-10-01;8187022.0
2023-11-01;5135498.0
2023-12-01;5209085.0
2024-01-01;4775549.0
2024-02-01;5013497.0
2024-03-01;6350471.0
2024-04-01;7783750.0
2024-05-01;9255985.0
2024-06-01;9299574.0
2024-07-01;10852347.0
2024-08-01;10929584.0
2024-09-01;9602015.0
2024-10-01;8961932.0
2024-11-01;5670219.0
2024-12-01;5264375.0
2025-01-01;5065094.0
2025-02-01;5397279.0
2025-03-01;6593604.0
2025-04-01;8568142.0
2025-05-01;9395612.0
2025-06-01;9476248.0
