mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
122024;2;20221100006062;2;2;12;01;21;1;2;6;4573.5645471;306.12952259
122024;2;20221100007348;2;2;01;10;3;3;3;6;485.89191379;27.132838497
122024;2;20221200032686;2;2;01;10;5;3;3;6;628.23780392;9.0442794991
122024;2;20231100001844;2;2;12;09;9;1;1;6;2128.542736;256.82022246
122024;2;20231100004143;2;2;12;09;6;1;1;6;1492.1787973;881.06988895
122024;2;20231100008558;2;2;12;09;2;1;1;6;993.3011465;904.58328371
122024;2;20231100023652;2;2;12;10;10;1;1;6;2411.1776974;1095.9866011
122024;2;20231100033293;2;2;12;09;2;1;1;6;993.3011465;904.58328371
122024;2;20231200008247;8;1;08;09;2;1;3;6;414.13399844;299.70133544
122024;2;20231200015640;2;1;08;01;3;3;1;6;629.55688836;350.59059091
122024;2;20231200019647;2;2;02;10;7;3;1;6;859.7959195;9.7942387505
122024;2;20231200019648;2;2;02;10;30;3;1;6;3223.4422171;9.7942387505
122024;2;20231200019649;2;2;02;09;45;3;1;6;2639.5304069;14.621888351
122024;2;20231200025035;8;1;08;01;21;3;1;6;1516.8220739;273.89152215
122024;2;20231200030357;2;1;08;01;1;1;1;6;427.92978485;491.4952702
122024;2;20231200030422;2;1;08;07;2;2;1;6;560.00377659;524.4141795
122024;2;20231200030440;2;1;08;01;2;1;1;6;933.32927311;509.81075903
122024;2;20231200031204;2;2;12;09;5;1;1;6;1552.9851624;527.34813223
122024;2;20231200034982;2;1;08;10;4;1;1;6;811.03092081;429.97758889
122024;2;20241000001270;2;2;14;13;13;3;3;6;2436.7954107;257.88281583
122024;2;20241000001271;2;2;14;01;31;3;3;6;3754.9173764;57.530790097
122024;2;20241000001273;2;2;14;01;18;1;1;6;4764.4445642;176.66530292
122024;2;20241000001785;2;3;05;10;30;3;3;6;1604.933944;34.819180639
122024;2;20241000002790;2;2;12;01;14;3;1;6;1199.7017121;422.18138857
122024;2;20241000003207;2;1;03;09;17;3;1;6;1053.6639531;1602.195988
122024;2;20241000003217;2;1;03;15;1;3;3;6;168.81317822;906.30534249
122024;2;20241000003297;8;1;08;13;13;2;1;6;1697.8220183;2049.2470482
122024;2;20241000003300;8;1;03;01;3;3;1;6;370.4512103;175.80237779
122024;2;20241000003306;8;1;08;01;2;2;1;6;376.95539925;359.34970406
122024;2;20241000003319;2;1;03;01;3;2;1;6;604.81975376;658.85139762
122024;2;20241000003325;2;1;03;01;4;1;1;6;683.08781868;184.69457144
122024;2;20241000003333;2;1;03;01;5;1;1;6;1039.3382982;163.0417028
122024;2;20241000003343;2;1;08;13;11;2;1;6;1638.050663;220.92937066
122024;2;20241000003348;8;1;08;01;90;3;1;6;7000.6528566;350.59059091
122024;2;20241000003355;2;1;08;01;1;1;1;6;569.4611916;491.4952702
122024;2;20241000004194;2;2;14;04;9;1;1;6;3219.351683;186.2549797
122024;2;20241000005129;2;2;14;16;4;1;1;6;2297.9195042;986.63493654
122024;2;20241000005570;2;2;04;04;5;1;1;6;1497.8111547;12.06418185
122024;2;20241000005571;2;2;15;04;7;1;1;1;1931.8507164;22.368475178
122024;2;20241000006142;2;2;14;12;8;1;1;6;2485.1077099;154.6211881
122024;2;20241000008438;2;2;13;04;4;1;1;1;1103.3065886;32.013226363
122024;2;20241000008525;2;2;14;13;65;2;3;6;11632.003788;10.440638476
122024;2;20241000008526;2;2;12;04;5;1;1;6;1511.3509756;77.359230505
122024;2;20241000008561;2;2;14;13;8;1;1;6;3293.930951;111.93651354
122024;2;20241000008663;2;2;14;13;6;1;1;1;2925.7129798;230.12626626
122024;2;20241000009640;2;1;03;15;1;1;1;6;248.19174734;2002.7391069
122024;2;20241000009786;2;3;05;09;4;1;1;6;977.68630667;37.534902296
122024;2;20241000009787;2;3;05;09;14;3;3;6;1159.5066697;51.981191258
122024;2;20241000009788;2;3;05;09;6;3;1;6;779.29912936;48.784401279
122024;2;20241000009789;2;3;05;09;9;1;1;6;1348.5482419;12.33816566
122024;2;20241000009835;8;3;05;09;1;1;1;6;489.1455695;57.093936375
122024;2;20241000010375;2;2;14;13;15;1;1;6;5586.3876203;160.22759241
122024;2;20241000010943;2;1;07;01;5;1;1;6;743.9717385;2897.5278958
122024;2;20241000011232;2;2;02;04;7;1;1;1;1508.3033893;150.24388738
122024;2;20241000011416;2;2;12;09;14;3;3;6;1557.6024897;407.23520062
122024;2;20241000011489;2;2;14;09;5;1;1;6;1840.8509836;257.44884252
122024;2;20241000011491;2;2;14;09;3;1;1;6;1721.6193024;209.14511328
122024;2;20241000012652;2;2;12;09;20;3;1;6;1530.4245687;764.38487231
122024;2;20241000012893;2;2;15;04;5;1;1;6;4429.4224237;22.21149746
122024;2;20241000013903;2;1;07;01;2;3;2;6;65.586321337;4333.512394
122024;2;20241000014436;2;2;13;04;7;1;1;6;2850.126549;13.074379339
122024;2;20241000015120;2;2;12;04;7;1;1;6;1463.0700455;51.000607512
122024;2;20241000015717;2;3;05;09;2;2;1;6;715.11201893;83.321671217
122024;2;20241000015720;2;3;05;09;3;1;1;6;829.97223579;54.387219186
122024;2;20241000015778;2;3;05;12;10;3;1;6;1342.8144215;44.85204145
122024;2;20241000015781;2;3;05;10;4;1;1;6;1332.1063841;18.680117188
122024;2;20241000015784;2;3;05;09;5;1;1;6;679.95716669;38.856435547
122024;2;20241000016857;2;2;12;04;7;1;1;1;1384.3593087;12.998144542
122024;2;20241000016858;2;2;12;04;9;2;1;6;1798.8921259;58.172994369
122024;2;20241000016859;2;2;12;04;7;2;1;6;1069.9385335;232.69197748
122024;2;20241000016969;2;2;02;04;5;1;1;6;1571.3435745;129.83324055
122024;2;20241000017293;2;2;12;04;18;1;1;6;3887.9463761;368.34585655
122024;2;20241000017294;2;2;12;09;20;3;3;6;1530.4245687;407.23710039
122024;2;20241000017355;2;2;12;09;5;1;2;6;1729.959153;460.77356427
122024;2;20241000017500;2;1;03;15;2;3;3;6;190.62438409;906.30534249
122024;2;20241000017574;8;1;08;06;8;1;1;6;1081.6765804;565.72466936
122024;2;20241000017948;2;2;02;04;5;1;1;6;1450.8140356;134.7426414
122024;2;20241000017949;2;2;02;04;4;1;1;6;1331.1184599;155.53366036
122024;2;20241000017950;2;2;02;04;6;1;1;6;1444.8290987;233.46173899
122024;2;20241000017970;2;2;02;04;3;1;3;6;1011.3976594;47.824340134
122024;2;20241000018951;8;1;03;07;5;3;1;6;471.88360203;1418.9984976
122024;2;20241000020185;2;2;14;09;5;1;1;6;1979.7368801;257.44884252
122024;2;20241000020967;2;2;12;04;4;2;1;6;1180.927129;149.34233714
122024;2;20241000020968;2;2;02;04;3;1;1;6;1083.7153828;179.53276895
122024;2;20241000021003;2;2;12;04;7;1;1;1;1406.8751995;33.368976539
122024;2;20241000021004;2;2;02;04;5;1;1;1;1268.1174763;200.18682163
