A0_1;C9_0;ccaa_etapa;pernoc_etapa
20220700001477;01;13;2
20220700001477;02;10;5
20220700001593;01;13;6
20220700001593;02;01;8
20220700010250;01;01;3
20220700022662;01;13;10
20220700034608;01;13;14
20220700034747;01;13;6
20220700044696;01;16;1
20220700048477;01;10;7
20220800000002;01;16;31
20220800000389;01;13;4
20220800000389;02;03;10
20220800014685;01;10;60
20220800024767;01;05;10
20220800044156;01;13;2
20220900019315;01;13;3
20220900021398;01;13;5
20220900030128;01;10;6
20230700001948;01;09;7
20230700001951;01;09;4
20230700003087;01;13;42
20230700004169;01;09;5
20230700004220;01;09;4
20230700004314;01;09;7
20230700004479;01;01;21
20230700006154;01;16;5
20230700006906;01;09;5
20230700008004;01;02;2
20230700008202;01;01;30
20230700009073;01;13;4
20230700009544;01;13;3
20230700009544;02;09;3
20230700010660;01;09;8
20230700010779;01;04;7
20230700010780;01;04;7
20230700010781;01;04;7
20230700010824;01;04;4
20230700010825;01;04;7
20230700010828;01;04;6
20230700010830;01;04;7
20230700011561;01;09;1
20230700011622;01;13;2
20230700011622;02;09;4
20230700011778;01;16;1
20230700011806;01;01;1
20230700011933;01;09;30
20230700013884;01;09;21
20230700014583;01;01;3
20230700014583;02;13;3
20230700014789;01;09;2
20230700014859;01;09;6
20230700015796;01;09;3
20230700015796;02;09;2
20230700015796;03;10;4
20230700015796;04;01;3
20230700015796;05;01;1
20230700015804;01;09;2
20230700015804;02;01;5
20230700017652;01;09;22
20230700017664;01;09;14
20230700019710;01;10;6
20230700019711;01;10;6
20230700019712;01;10;3
20230700019761;01;10;3
20230700019762;01;10;3
20230700019763;01;13;10
20230700019763;02;11;8
20230700019763;03;10;7
20230700019764;01;10;8
20230700019843;01;13;3
20230700019843;02;09;3
20230700020160;01;07;1
20230700020260;01;01;2
20230700021908;01;10;4
20230700021980;01;10;35
20230700022163;01;13;4
20230700022166;01;13;2
20230700022294;01;13;3
20230700022670;01;01;2
20230700023174;01;09;4
20230700024651;01;10;6
20230700024651;02;02;4
20230700024831;01;09;3
20230700026237;01;09;5
20230700026273;01;10;1
20230700026311;01;09;4
20230700026382;01;02;10
20230700026384;01;09;4
20230700028492;01;01;21
